athlete_id,session_id,date,speed_mps,speed_kmh,cadence_spm,contact_time_ms,flight_time_ms,asymmetry_pct,vertical_loading_rate_bw_s,vertical_force_peak_bw_proxy,lateral_force_peak_bw_proxy,braking_force_peak_bw_proxy,propulsive_force_peak_bw_proxy,power_wkg_proxy,calf_load_contact_bw,calf_load_uplift_bw,quadriceps_load_contact_bw,hamstring_load_uplift_bw,muscle_load_index,global_risk_probability_14d,future_pain_or_modification_14d,not_medical_diagnosis
ATH_WIFI_004,ATH_WIFI_004_S01_3.0mps,2026-01-06,3.0,10.8,186.81,294.21,64.3,1.205,82.971,2.2805,0.0482,0.1769,0.2706,3.144,1.8079,2.1096,1.6508,1.4477,0.877,0.5497,0,True
ATH_WIFI_004,ATH_WIFI_004_S01_3.3mps,2026-01-06,3.3,11.88,189.24,291.88,67.73,0.615,89.677,2.3171,0.0647,0.2189,0.2802,3.285,1.9731,2.2479,1.8485,1.4985,0.946,0.5833,0,True
ATH_WIFI_004,ATH_WIFI_004_S01_3.7mps,2026-01-06,3.7,13.32,191.17,283.59,83.73,1.394,87.252,2.3116,0.0803,0.2189,0.2796,3.819,2.077,2.1843,1.6344,1.4809,0.9221,0.711,0,True
ATH_WIFI_004,ATH_WIFI_004_S02_2.7mps,2026-01-12,2.7,9.72,185.09,292.03,56.92,3.358,79.09,2.2262,0.083,0.2046,0.2607,2.906,1.7367,1.9875,1.668,1.2941,0.8358,0.537,0,True
ATH_WIFI_004,ATH_WIFI_004_S02_3.0mps,2026-01-12,3.0,10.8,188.13,294.45,71.8,2.561,87.229,2.2827,0.0848,0.1898,0.3084,3.463,1.7921,2.0196,1.7785,1.4783,0.8836,0.574,0,True
ATH_WIFI_004,ATH_WIFI_004_S02_3.3mps,2026-01-12,3.3,11.88,187.2,277.75,73.61,3.448,79.017,2.2359,0.0827,0.2017,0.2918,3.383,1.8518,1.9084,1.6664,1.3849,0.8514,0.5408,0,True
ATH_WIFI_004,ATH_WIFI_004_S02_3.7mps,2026-01-12,3.7,13.32,193.69,268.54,85.18,2.472,88.911,2.3313,0.0874,0.2157,0.3216,3.734,2.0535,2.2442,1.6589,1.3845,0.9176,0.6994,0,True
ATH_WIFI_005,ATH_WIFI_005_S01_2.7mps,2026-01-05,2.7,9.72,184.84,300.6,55.19,3.98,87.089,2.1954,0.1002,0.1676,0.2224,3.225,1.8499,1.9788,1.7846,1.3853,0.8748,0.7163,0,True
ATH_WIFI_005,ATH_WIFI_005_S01_3.0mps,2026-01-05,3.0,10.8,186.52,292.34,64.7,3.558,81.703,2.2603,0.0882,0.1949,0.2477,3.265,1.8381,2.1187,1.6213,1.3968,0.8719,0.654,1,True
ATH_WIFI_005,ATH_WIFI_005_S01_3.3mps,2026-01-05,3.3,11.88,187.16,274.41,70.08,4.146,86.193,2.3452,0.0996,0.2043,0.2829,3.657,1.8714,2.1727,1.6628,1.4489,0.8945,0.7161,1,True
ATH_WIFI_005,ATH_WIFI_005_S01_3.7mps,2026-01-05,3.7,13.32,193.54,256.85,81.05,4.493,85.733,2.3842,0.1034,0.2386,0.2998,3.813,2.0363,2.3386,1.6327,1.5077,0.9394,0.8141,0,True
ATH_WIFI_005,ATH_WIFI_005_S02_2.7mps,2026-01-13,2.7,9.72,185.86,306.23,52.43,3.375,81.279,2.3055,0.0812,0.1726,0.2489,2.913,2.0017,2.1054,1.6234,1.3785,0.8886,0.7404,1,True
ATH_WIFI_005,ATH_WIFI_005_S02_3.0mps,2026-01-13,3.0,10.8,186.3,302.24,60.7,2.701,87.874,2.1932,0.0708,0.1689,0.227,3.372,1.9456,2.2782,1.8874,1.4974,0.9511,0.762,1,True
ATH_WIFI_005,ATH_WIFI_005_S02_3.3mps,2026-01-13,3.3,11.88,191.16,295.82,70.9,3.672,87.933,2.3082,0.0883,0.219,0.2642,3.534,2.0828,2.2433,1.8749,1.4854,0.9608,0.7958,0,True
ATH_WIFI_005,ATH_WIFI_005_S02_3.7mps,2026-01-13,3.7,13.32,194.1,280.32,83.19,3.115,96.681,2.4684,0.0887,0.2251,0.3361,3.352,2.0694,2.2383,1.8774,1.6138,0.9749,0.8891,0,True
ATH_WIFI_006,ATH_WIFI_006_S01_2.7mps,2026-01-06,2.7,9.72,182.45,313.72,58.59,5.462,95.999,2.3108,0.1242,0.1718,0.2052,3.222,2.053,2.1413,1.8364,1.3682,0.9249,0.9,0,True
ATH_WIFI_006,ATH_WIFI_006_S01_3.0mps,2026-01-06,3.0,10.8,184.78,310.31,56.28,6.344,100.549,2.3755,0.0928,0.1805,0.283,3.228,2.0631,2.257,1.8637,1.4226,0.9508,0.9,1,True
ATH_WIFI_006,ATH_WIFI_006_S01_3.3mps,2026-01-06,3.3,11.88,189.88,308.82,67.37,6.334,95.686,2.5239,0.1022,0.19,0.283,3.701,2.2125,2.3913,1.8316,1.5123,0.9935,0.9,0,True
ATH_WIFI_006,ATH_WIFI_006_S01_3.7mps,2026-01-06,3.7,13.32,190.95,285.72,64.82,5.846,96.391,2.4641,0.1098,0.2479,0.3058,3.926,2.3009,2.4201,1.8825,1.6762,1.035,0.9,0,True
ATH_WIFI_006,ATH_WIFI_006_S02_2.7mps,2026-01-13,2.7,9.72,187.3,299.06,55.74,4.784,81.633,2.2779,0.1035,0.1731,0.2395,3.133,1.7893,2.002,1.6104,1.3542,0.8445,0.7436,0,True
ATH_WIFI_006,ATH_WIFI_006_S02_3.0mps,2026-01-13,3.0,10.8,187.55,295.99,76.28,3.981,78.581,2.2161,0.0905,0.2025,0.2827,3.074,1.8591,2.0941,1.6679,1.4196,0.8801,0.6874,1,True
ATH_WIFI_006,ATH_WIFI_006_S02_3.3mps,2026-01-13,3.3,11.88,189.63,280.87,73.91,4.543,83.073,2.2942,0.0988,0.2165,0.2898,3.44,1.8205,2.1249,1.6343,1.4525,0.879,0.7448,0,True
ATH_WIFI_006,ATH_WIFI_006_S02_3.7mps,2026-01-13,3.7,13.32,196.02,270.17,78.35,4.972,92.991,2.3308,0.1097,0.2386,0.3314,3.691,1.9885,2.2666,1.7802,1.5528,0.9485,0.8843,1,True
ATH_WIFI_007,ATH_WIFI_007_S01_2.7mps,2026-01-05,2.7,9.72,183.71,314.23,59.88,3.583,82.781,2.3178,0.0526,0.1844,0.2416,2.887,1.8712,2.1197,1.729,1.3397,0.8825,0.7052,0,True
ATH_WIFI_007,ATH_WIFI_007_S01_3.0mps,2026-01-05,3.0,10.8,191.01,296.62,67.64,2.518,91.974,2.1966,0.0731,0.1859,0.2451,3.102,2.0128,2.2701,1.5754,1.4349,0.9117,0.7327,0,True
ATH_WIFI_007,ATH_WIFI_007_S01_3.3mps,2026-01-05,3.3,11.88,189.18,291.41,69.87,3.802,89.809,2.3002,0.0932,0.2174,0.3042,3.155,2.016,2.173,1.6807,1.4156,0.9107,0.7655,0,True
ATH_WIFI_007,ATH_WIFI_007_S01_3.7mps,2026-01-05,3.7,13.32,195.36,271.08,79.9,3.993,93.701,2.4064,0.082,0.211,0.2714,4.039,2.1292,2.3297,1.702,1.54,0.9626,0.8664,0,True
ATH_WIFI_007,ATH_WIFI_007_S02_2.7mps,2026-01-14,2.7,9.72,181.93,296.72,64.19,1.722,78.318,2.2785,0.0718,0.1774,0.2518,3.348,1.8002,1.9183,1.7258,1.447,0.8614,0.531,0,True
ATH_WIFI_007,ATH_WIFI_007_S02_3.0mps,2026-01-14,3.0,10.8,188.49,303.79,62.87,2.413,81.639,2.2563,0.0975,0.2145,0.2203,2.815,1.8601,2.058,1.4982,1.3637,0.8475,0.5959,0,True
ATH_WIFI_007,ATH_WIFI_007_S02_3.3mps,2026-01-14,3.3,11.88,191.06,290.26,71.71,2.002,85.652,2.3276,0.044,0.214,0.2435,3.402,1.9773,2.3373,1.773,1.3699,0.9322,0.6127,1,True
ATH_WIFI_007,ATH_WIFI_007_S02_3.7mps,2026-01-14,3.7,13.32,193.74,272.85,84.19,1.097,92.061,2.4634,0.0651,0.2166,0.3281,3.911,2.0097,2.3219,1.7521,1.4856,0.9462,0.7352,1,True
ATH_WIFI_008,ATH_WIFI_008_S01_2.7mps,2026-01-07,2.7,9.72,186.66,299.8,63.58,4.934,75.694,2.211,0.1028,0.1622,0.2356,2.997,1.7651,1.9162,1.8379,1.4281,0.8684,0.6723,1,True
ATH_WIFI_008,ATH_WIFI_008_S01_3.0mps,2026-01-07,3.0,10.8,186.89,285.2,61.62,5.043,86.261,2.2853,0.102,0.2054,0.2905,3.221,1.7506,2.1211,1.7983,1.4459,0.8895,0.758,0,True
ATH_WIFI_008,ATH_WIFI_008_S01_3.3mps,2026-01-07,3.3,11.88,192.01,286.22,74.09,4.185,88.556,2.2447,0.0877,0.234,0.2698,3.384,1.8387,2.1518,1.6793,1.4353,0.8881,0.7422,0,True
ATH_WIFI_008,ATH_WIFI_008_S01_3.7mps,2026-01-07,3.7,13.32,191.81,278.58,86.35,4.909,93.68,2.3735,0.1047,0.22,0.2894,3.814,2.0383,2.1908,1.7691,1.4255,0.928,0.8695,1,True
ATH_WIFI_008,ATH_WIFI_008_S02_2.7mps,2026-01-12,2.7,9.72,185.99,303.48,60.89,5.423,89.904,2.2802,0.1256,0.1603,0.2214,3.279,1.8914,2.0668,1.7233,1.3409,0.8778,0.8656,1,True
ATH_WIFI_008,ATH_WIFI_008_S02_3.0mps,2026-01-12,3.0,10.8,188.06,287.73,66.95,5.272,92.053,2.2299,0.0844,0.1832,0.2433,3.194,1.9365,2.3053,1.6509,1.3907,0.9104,0.8714,0,True
ATH_WIFI_008,ATH_WIFI_008_S02_3.3mps,2026-01-12,3.3,11.88,190.3,278.92,67.15,4.836,85.554,2.3594,0.1029,0.2258,0.2945,3.61,2.1506,2.1999,1.683,1.4665,0.9375,0.8291,0,True
ATH_WIFI_008,ATH_WIFI_008_S02_3.7mps,2026-01-12,3.7,13.32,194.38,279.02,76.19,6.266,97.07,2.375,0.1037,0.2268,0.2761,3.518,2.0985,2.2919,1.8554,1.5291,0.9719,0.9,1,True
ATH_WIFI_009,ATH_WIFI_009_S01_2.7mps,2026-01-06,2.7,9.72,184.34,304.03,63.49,3.137,83.736,2.3359,0.0996,0.2094,0.2326,2.953,1.8895,2.032,1.7058,1.3443,0.8714,0.6579,0,True
ATH_WIFI_009,ATH_WIFI_009_S01_3.0mps,2026-01-06,3.0,10.8,186.47,290.67,66.4,3.769,90.006,2.2512,0.0979,0.1858,0.2594,3.318,1.8687,1.9579,1.6916,1.3975,0.8645,0.7346,0,True
ATH_WIFI_009,ATH_WIFI_009_S01_3.3mps,2026-01-06,3.3,11.88,187.26,282.79,74.67,2.714,82.757,2.2614,0.057,0.2143,0.3021,3.477,1.8927,2.1967,1.7954,1.4744,0.9199,0.6299,0,True
ATH_WIFI_009,ATH_WIFI_009_S01_3.7mps,2026-01-06,3.7,13.32,193.21,267.19,77.86,3.229,88.351,2.3832,0.095,0.2366,0.2995,3.68,1.9533,2.322,1.7995,1.5391,0.9517,0.7937,1,True
ATH_WIFI_009,ATH_WIFI_009_S02_2.7mps,2026-01-13,2.7,9.72,184.97,299.29,66.92,2.267,74.638,2.2132,0.0901,0.196,0.2376,3.107,1.9164,1.9989,1.6733,1.3122,0.8626,0.4999,0,True
ATH_WIFI_009,ATH_WIFI_009_S02_3.0mps,2026-01-13,3.0,10.8,188.09,281.64,62.12,2.443,83.692,2.247,0.0596,0.2238,0.2636,3.495,1.8959,2.021,1.5925,1.4887,0.8748,0.5936,0,True
ATH_WIFI_009,ATH_WIFI_009_S02_3.3mps,2026-01-13,3.3,11.88,187.54,277.98,72.33,2.033,86.224,2.3233,0.0649,0.2091,0.2567,3.594,1.9716,2.2784,1.6977,1.4804,0.9285,0.597,1,True
ATH_WIFI_009,ATH_WIFI_009_S02_3.7mps,2026-01-13,3.7,13.32,194.93,282.1,77.51,1.418,88.805,2.337,0.0723,0.2279,0.2963,3.705,2.0603,2.3449,1.6422,1.5799,0.9534,0.7043,0,True
ATH_WIFI_010,ATH_WIFI_010_S01_2.7mps,2026-01-07,2.7,9.72,179.56,295.21,61.43,3.615,80.421,2.2511,0.1153,0.173,0.1971,3.274,1.7661,1.987,1.5601,1.3946,0.8385,0.5349,0,True
ATH_WIFI_010,ATH_WIFI_010_S01_3.0mps,2026-01-07,3.0,10.8,185.83,289.14,74.01,4.258,77.93,2.2042,0.1113,0.2039,0.2565,3.394,1.8768,2.0142,1.6333,1.4463,0.8713,0.5434,1,True
ATH_WIFI_010,ATH_WIFI_010_S01_3.3mps,2026-01-07,3.3,11.88,188.76,278.01,72.76,4.281,87.27,2.314,0.0697,0.2034,0.2586,3.395,1.9278,1.9941,1.678,1.4184,0.8773,0.6303,0,True
ATH_WIFI_010,ATH_WIFI_010_S01_3.7mps,2026-01-07,3.7,13.32,195.58,270.32,76.56,4.062,87.587,2.3208,0.1108,0.2197,0.2772,3.454,2.0003,2.2344,1.7146,1.4064,0.9195,0.7314,1,True
ATH_WIFI_010,ATH_WIFI_010_S02_2.7mps,2026-01-14,2.7,9.72,183.97,300.51,58.62,1.151,78.298,2.3239,0.0465,0.1562,0.2088,2.844,1.8675,2.0515,1.6464,1.5197,0.8856,0.5098,0,True
ATH_WIFI_010,ATH_WIFI_010_S02_3.0mps,2026-01-14,3.0,10.8,182.56,287.17,66.44,1.69,83.829,2.3484,0.0643,0.1692,0.2482,3.035,1.9156,2.1607,1.7221,1.5252,0.9155,0.5883,0,True
ATH_WIFI_010,ATH_WIFI_010_S02_3.3mps,2026-01-14,3.3,11.88,189.12,288.33,68.68,1.893,95.459,2.2731,0.0755,0.2185,0.2564,3.438,1.981,2.2408,1.695,1.4403,0.9196,0.6984,0,True
ATH_WIFI_010,ATH_WIFI_010_S02_3.7mps,2026-01-14,3.7,13.32,192.24,276.93,70.99,1.78,87.206,2.36,0.0825,0.2452,0.3343,4.04,2.1255,2.2894,1.8502,1.4675,0.9666,0.7318,1,True
