athlete_id,session_id,room_id,sensor_geometry,speed_mps,speed_kmh,window_id,window_start_s,window_end_s,cadence_spm,contact_time_ms,flight_time_ms,asymmetry_pct,fatigue_score_1_10,dominant_doppler_proxy_hz,harmonic_energy_ratio,rf_snr_db,multipath_score,rf_signal_quality,vertical_force_peak_bw_proxy,lateral_force_peak_bw_proxy,braking_force_peak_bw_proxy,propulsive_force_peak_bw_proxy,vertical_loading_rate_bw_s,calf_load_contact_bw,calf_load_uplift_bw,quadriceps_load_contact_bw,hamstring_load_uplift_bw,muscle_load_index,power_wkg_proxy,global_risk_probability_14d,future_pain_or_modification_14d,simulated
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,10,10.0,11.0,186.24,292.53,66.05,4.504,2.12,2.0,0.32056,23.165,0.1629,0.8715,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,11,11.0,12.0,186.24,292.53,66.05,4.504,2.12,2.0,0.24407,27.177,0.1629,0.7342,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,12,12.0,13.0,186.24,292.53,66.05,4.504,2.12,2.0,0.32305,26.421,0.1629,0.7704,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,13,13.0,14.0,186.24,292.53,66.05,4.504,2.12,2.0,0.27191,32.081,0.1629,0.8486,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,14,14.0,15.0,186.24,292.53,66.05,4.504,2.12,2.0,0.30728,23.626,0.1629,0.8009,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,15,15.0,16.0,186.24,292.53,66.05,4.504,2.12,2.0,0.30699,23.697,0.1629,0.8334,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,16,16.0,17.0,186.24,292.53,66.05,4.504,2.12,2.0,0.26986,23.38,0.1629,0.7208,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,17,17.0,18.0,186.24,292.53,66.05,4.504,2.12,2.0,0.32596,23.837,0.1629,0.8581,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,0,0.0,1.0,185.99,289.25,65.71,3.88,2.12,1.0,0.27541,24.004,0.1629,0.8226,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,1,1.0,2.0,185.99,289.25,65.71,3.88,2.12,2.0,0.324,23.639,0.1629,0.8216,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,2,2.0,3.0,185.99,289.25,65.71,3.88,2.12,2.0,0.24564,19.6,0.1629,0.7899,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,3,3.0,4.0,185.99,289.25,65.71,3.88,2.12,2.0,0.32473,29.811,0.1629,0.87,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,4,4.0,5.0,185.99,289.25,65.71,3.88,2.12,2.0,0.28442,22.955,0.1629,0.8362,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,5,5.0,6.0,185.99,289.25,65.71,3.88,2.12,2.0,0.30217,31.006,0.1629,0.7999,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,6,6.0,7.0,185.99,289.25,65.71,3.88,2.12,2.0,0.31323,18.976,0.1629,0.7695,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,7,7.0,8.0,185.99,289.25,65.71,3.88,2.12,2.0,0.26906,23.23,0.1629,0.8361,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,8,8.0,9.0,185.99,289.25,65.71,3.88,2.12,2.0,0.33544,21.369,0.1629,0.7614,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,9,9.0,10.0,185.99,289.25,65.71,3.88,2.12,1.0,0.30738,25.541,0.1629,0.8332,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,10,10.0,11.0,185.99,289.25,65.71,3.88,2.12,2.0,0.32563,23.326,0.1629,0.8541,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,11,11.0,12.0,185.99,289.25,65.71,3.88,2.12,1.0,0.25312,22.961,0.1629,0.8648,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,12,12.0,13.0,185.99,289.25,65.71,3.88,2.12,2.0,0.32563,23.948,0.1629,0.8272,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,13,13.0,14.0,185.99,289.25,65.71,3.88,2.12,2.0,0.26101,24.372,0.1629,0.8137,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,14,14.0,15.0,185.99,289.25,65.71,3.88,2.12,2.0,0.31748,22.219,0.1629,0.8019,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,15,15.0,16.0,185.99,289.25,65.71,3.88,2.12,2.0,0.30187,20.524,0.1629,0.7548,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,16,16.0,17.0,185.99,289.25,65.71,3.88,2.12,2.0,0.28308,23.792,0.1629,0.8255,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,lab_C,front_back,3.0,10.8,17,17.0,18.0,185.99,289.25,65.71,3.88,2.12,2.0,0.32109,22.703,0.1629,0.8825,2.2279,0.0863,0.2203,0.2582,84.846,1.8063,2.1236,1.6838,1.444,0.8822,3.184,0.6811,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,0,0.0,1.0,187.99,275.19,75.01,4.86,2.12,1.0,0.27035,21.856,0.1629,0.8229,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,1,1.0,2.0,187.99,275.19,75.01,4.86,2.12,2.0,0.31601,29.341,0.1629,0.8367,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,2,2.0,3.0,187.99,275.19,75.01,4.86,2.12,2.0,0.25676,21.279,0.1629,0.7786,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,3,3.0,4.0,187.99,275.19,75.01,4.86,2.12,2.0,0.31157,26.63,0.1629,0.7716,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,4,4.0,5.0,187.99,275.19,75.01,4.86,2.12,2.0,0.30447,25.142,0.1629,0.7986,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,5,5.0,6.0,187.99,275.19,75.01,4.86,2.12,2.0,0.2691,16.043,0.1629,0.7191,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,6,6.0,7.0,187.99,275.19,75.01,4.86,2.12,2.0,0.33586,23.486,0.1629,0.7794,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,7,7.0,8.0,187.99,275.19,75.01,4.86,2.12,1.0,0.29533,22.017,0.1629,0.7508,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,8,8.0,9.0,187.99,275.19,75.01,4.86,2.12,2.0,0.31495,19.189,0.1629,0.755,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,9,9.0,10.0,187.99,275.19,75.01,4.86,2.12,2.0,0.24553,27.258,0.1629,0.814,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,10,10.0,11.0,187.99,275.19,75.01,4.86,2.12,2.0,0.3169,26.402,0.1629,0.8251,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,11,11.0,12.0,187.99,275.19,75.01,4.86,2.12,2.0,0.29668,27.892,0.1629,0.8487,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,12,12.0,13.0,187.99,275.19,75.01,4.86,2.12,2.0,0.2788,25.676,0.1629,0.7953,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,13,13.0,14.0,187.99,275.19,75.01,4.86,2.12,2.0,0.32133,22.68,0.1629,0.8288,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,14,14.0,15.0,187.99,275.19,75.01,4.86,2.12,1.0,0.29774,26.004,0.1629,0.7997,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,15,15.0,16.0,187.99,275.19,75.01,4.86,2.12,2.0,0.31637,24.704,0.1629,0.8132,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,16,16.0,17.0,187.99,275.19,75.01,4.86,2.12,2.0,0.2456,23.076,0.1629,0.7692,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,lab_C,front_back,3.3,11.88,17,17.0,18.0,187.99,275.19,75.01,4.86,2.12,2.0,0.31866,24.651,0.1629,0.7976,2.369,0.0922,0.2293,0.3025,81.047,1.9605,2.2594,1.5423,1.3695,0.8915,3.565,0.6922,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,0,0.0,1.0,195.56,275.17,79.85,5.238,2.12,2.0,0.29169,23.27,0.1629,0.7617,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,1,1.0,2.0,195.56,275.17,79.85,5.238,2.12,2.0,0.32792,21.17,0.1629,0.8405,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,2,2.0,3.0,195.56,275.17,79.85,5.238,2.12,2.0,0.32707,27.301,0.1629,0.8098,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,3,3.0,4.0,195.56,275.17,79.85,5.238,2.12,1.0,0.31547,18.732,0.1629,0.8022,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,4,4.0,5.0,195.56,275.17,79.85,5.238,2.12,2.0,0.31256,26.894,0.1629,0.8548,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,5,5.0,6.0,195.56,275.17,79.85,5.238,2.12,2.0,0.31099,21.807,0.1629,0.829,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,6,6.0,7.0,195.56,275.17,79.85,5.238,2.12,2.0,0.30783,18.429,0.1629,0.816,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,7,7.0,8.0,195.56,275.17,79.85,5.238,2.12,2.0,0.33518,23.412,0.1629,0.7423,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,8,8.0,9.0,195.56,275.17,79.85,5.238,2.12,2.0,0.28223,19.928,0.1629,0.8099,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,9,9.0,10.0,195.56,275.17,79.85,5.238,2.12,2.0,0.33025,22.342,0.1629,0.8354,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,10,10.0,11.0,195.56,275.17,79.85,5.238,2.12,2.0,0.33352,21.766,0.1629,0.7651,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,11,11.0,12.0,195.56,275.17,79.85,5.238,2.12,1.0,0.34459,22.231,0.1629,0.8845,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,12,12.0,13.0,195.56,275.17,79.85,5.238,2.12,2.0,0.31137,25.154,0.1629,0.8039,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,13,13.0,14.0,195.56,275.17,79.85,5.238,2.12,2.0,0.31964,24.709,0.1629,0.7911,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,14,14.0,15.0,195.56,275.17,79.85,5.238,2.12,2.0,0.29952,22.595,0.1629,0.8887,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,15,15.0,16.0,195.56,275.17,79.85,5.238,2.12,2.0,0.32831,23.193,0.1629,0.8272,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,16,16.0,17.0,195.56,275.17,79.85,5.238,2.12,2.0,0.28469,23.292,0.1629,0.7975,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,lab_C,front_back,3.7,13.32,17,17.0,18.0,195.56,275.17,79.85,5.238,2.12,2.0,0.32686,29.238,0.1629,0.8324,2.3373,0.1023,0.247,0.2999,84.201,1.9369,2.2786,1.6884,1.4297,0.9167,3.812,0.8184,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,0,0.0,1.0,184.91,305.62,68.35,4.031,4.38,1.0,0.27337,23.596,0.3214,0.7831,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,1,1.0,2.0,184.91,305.62,68.35,4.031,4.38,3.0,0.32524,22.783,0.3214,0.7244,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,2,2.0,3.0,184.91,305.62,68.35,4.031,4.38,2.0,0.24307,24.389,0.3214,0.8042,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,3,3.0,4.0,184.91,305.62,68.35,4.031,4.38,2.0,0.3271,20.247,0.3214,0.6727,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,4,4.0,5.0,184.91,305.62,68.35,4.031,4.38,2.0,0.26331,29.388,0.3214,0.8094,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,5,5.0,6.0,184.91,305.62,68.35,4.031,4.38,2.0,0.31705,21.852,0.3214,0.7923,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,6,6.0,7.0,184.91,305.62,68.35,4.031,4.38,2.0,0.2984,17.124,0.3214,0.7946,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,7,7.0,8.0,184.91,305.62,68.35,4.031,4.38,2.0,0.28793,24.031,0.3214,0.8336,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,8,8.0,9.0,184.91,305.62,68.35,4.031,4.38,2.0,0.31677,19.189,0.3214,0.7797,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,lab_A,diagonal_4link,2.7,9.72,9,9.0,10.0,184.91,305.62,68.35,4.031,4.38,1.0,0.26548,22.364,0.3214,0.74,2.2491,0.0954,0.1682,0.2542,87.271,1.859,2.0543,1.6229,1.4136,0.8687,3.119,0.8023,0,1
